,Compound,TyreLife,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
0,2,1.0,11.0,15.0,6,2023,25.8,39.0,1013.7,0,47.4,1.0
1,2,1.0,10.0,11.0,6,2023,25.8,39.0,1013.7,0,47.4,1.0
2,1,1.0,1.0,1.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
3,0,4.0,2.0,4.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
4,0,1.0,3.0,12.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
5,1,1.0,4.0,11.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
6,0,4.0,5.0,2.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
7,0,4.0,6.0,5.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
8,0,4.0,7.0,8.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
9,0,4.0,8.0,6.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
10,0,1.0,9.0,13.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
11,0,4.0,10.0,10.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
12,2,1.0,11.0,19.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
13,0,1.0,12.0,15.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
14,0,3.0,13.0,9.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
15,0,1.0,14.0,14.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
16,0,4.0,15.0,7.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
17,0,1.0,16.0,18.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
18,0,3.0,17.0,3.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
19,0,1.0,18.0,17.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
20,0,1.0,19.0,16.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
21,1,1.0,20.0,20.0,7,2023,23.5,59.0,1000.9,0,38.5,2.2
22,1,1.0,1.0,1.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
23,0,1.0,12.0,15.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
24,2,1.0,6.0,12.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
25,1,1.0,2.0,2.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
26,1,1.0,4.0,10.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
27,1,1.0,9.0,16.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
28,1,1.0,20.0,18.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
29,2,1.0,17.0,13.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
30,1,1.0,18.0,17.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
31,1,1.0,14.0,19.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
32,1,2.0,7.0,9.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
33,1,1.0,16.0,20.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
34,1,1.0,15.0,5.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
35,1,1.0,8.0,6.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
36,1,1.0,13.0,7.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
37,1,1.0,3.0,3.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
38,1,1.0,5.0,11.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
39,1,1.0,19.0,4.0,8,2023,17.1,69.0,1011.9,0,27.1,1.8
