,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
0,MEDIUM,1.0,True,11.0,17.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
1,SOFT,4.0,False,13.0,10.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
2,SOFT,4.0,False,5.0,5.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
3,MEDIUM,1.0,True,9.0,16.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
4,SOFT,4.0,False,6.0,7.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
5,SOFT,1.0,True,14.0,13.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
6,MEDIUM,1.0,True,10.0,15.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
7,SOFT,1.0,True,7.0,11.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
8,SOFT,1.0,True,19.0,12.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
9,SOFT,4.0,False,3.0,4.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
10,SOFT,4.0,False,12.0,8.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
11,SOFT,4.0,False,2.0,1.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
12,SOFT,4.0,False,4.0,3.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
13,SOFT,1.0,True,20.0,18.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
14,MEDIUM,1.0,True,16.0,19.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
15,SOFT,4.0,False,8.0,9.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
16,SOFT,4.0,False,1.0,2.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
17,SOFT,4.0,False,18.0,6.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
18,HARD,1.0,True,17.0,20.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
19,MEDIUM,1.0,True,15.0,14.0,Australian Grand Prix,2019,23.2,72.2,1015.5,False,42.9,0.9
0,SOFT,4.0,False,8.0,13.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
1,SOFT,1.0,True,10.0,14.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
2,SOFT,4.0,False,3.0,1.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
3,SOFT,1.0,True,14.0,18.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
4,SOFT,4.0,False,13.0,6.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
5,SOFT,4.0,False,9.0,12.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
6,SOFT,1.0,True,12.0,15.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
7,SOFT,1.0,True,17.0,17.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
8,SOFT,1.0,True,18.0,10.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
9,SOFT,4.0,False,4.0,5.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
10,SOFT,4.0,False,6.0,9.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
11,SOFT,4.0,False,1.0,3.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
12,SOFT,4.0,False,5.0,2.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
13,SOFT,4.0,False,19.0,7.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
14,SOFT,1.0,True,15.0,19.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
15,SOFT,4.0,False,7.0,8.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
16,SOFT,4.0,False,2.0,4.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
17,SOFT,4.0,False,20.0,11.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
18,MEDIUM,1.0,True,16.0,20.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
19,SOFT,1.0,True,11.0,16.0,Bahrain Grand Prix,2019,26.3,53.6,1003.7,False,29.4,3.0
0,MEDIUM,4.0,False,1.0,2.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
1,MEDIUM,4.0,False,2.0,1.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
2,MEDIUM,4.0,False,3.0,3.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
3,MEDIUM,4.0,False,4.0,5.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
4,MEDIUM,4.0,False,5.0,4.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
5,SOFT,4.0,False,6.0,6.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
6,SOFT,4.0,False,7.0,7.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
7,MEDIUM,1.0,True,8.0,12.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
8,MEDIUM,1.0,True,9.0,13.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
9,SOFT,1.0,True,10.0,0.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
10,SOFT,4.0,False,11.0,10.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
11,MEDIUM,1.0,True,12.0,16.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
12,SOFT,4.0,False,13.0,9.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
13,MEDIUM,1.0,True,14.0,14.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
14,SOFT,1.0,True,15.0,19.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
15,MEDIUM,1.0,True,16.0,17.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
16,MEDIUM,1.0,True,17.0,18.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
17,MEDIUM,1.0,True,18.0,15.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
18,MEDIUM,1.0,True,19.0,11.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
19,SOFT,4.0,False,20.0,8.0,Chinese Grand Prix,2019,19.5,43.9,1019.3,False,30.6,2.1
0,MEDIUM,1.0,True,17.0,0.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
1,SOFT,4.0,False,6.0,5.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
2,MEDIUM,1.0,True,5.0,8.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
3,SOFT,1.0,True,9.0,13.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
4,SOFT,4.0,False,13.0,12.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
5,SOFT,1.0,True,11.0,11.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
6,SOFT,6.0,False,19.0,6.0,Azerbaijan Grand Prix,2019,19.9,50.1,1014.0,False,43.3,1.4
