,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year
0,MEDIUM,1.0,True,11.0,17.0,Australian Grand Prix,2019
1,SOFT,4.0,False,13.0,10.0,Australian Grand Prix,2019
2,SOFT,4.0,False,5.0,5.0,Australian Grand Prix,2019
3,MEDIUM,1.0,True,9.0,16.0,Australian Grand Prix,2019
4,SOFT,4.0,False,6.0,7.0,Australian Grand Prix,2019
5,SOFT,1.0,True,14.0,13.0,Australian Grand Prix,2019
6,MEDIUM,1.0,True,10.0,15.0,Australian Grand Prix,2019
7,SOFT,1.0,True,7.0,11.0,Australian Grand Prix,2019
8,SOFT,1.0,True,19.0,12.0,Australian Grand Prix,2019
9,SOFT,4.0,False,3.0,4.0,Australian Grand Prix,2019
10,SOFT,4.0,False,12.0,8.0,Australian Grand Prix,2019
11,SOFT,4.0,False,2.0,1.0,Australian Grand Prix,2019
12,SOFT,4.0,False,4.0,3.0,Australian Grand Prix,2019
13,SOFT,1.0,True,20.0,18.0,Australian Grand Prix,2019
14,MEDIUM,1.0,True,16.0,19.0,Australian Grand Prix,2019
15,SOFT,4.0,False,8.0,9.0,Australian Grand Prix,2019
16,SOFT,4.0,False,1.0,2.0,Australian Grand Prix,2019
17,SOFT,4.0,False,18.0,6.0,Australian Grand Prix,2019
18,HARD,1.0,True,17.0,20.0,Australian Grand Prix,2019
19,MEDIUM,1.0,True,15.0,14.0,Australian Grand Prix,2019
0,SOFT,4.0,False,8.0,13.0,Bahrain Grand Prix,2019
1,SOFT,1.0,True,10.0,14.0,Bahrain Grand Prix,2019
2,SOFT,4.0,False,3.0,1.0,Bahrain Grand Prix,2019
3,SOFT,1.0,True,14.0,18.0,Bahrain Grand Prix,2019
4,SOFT,4.0,False,13.0,6.0,Bahrain Grand Prix,2019
5,SOFT,4.0,False,9.0,12.0,Bahrain Grand Prix,2019
6,SOFT,1.0,True,12.0,15.0,Bahrain Grand Prix,2019
7,SOFT,1.0,True,17.0,17.0,Bahrain Grand Prix,2019
8,SOFT,1.0,True,18.0,10.0,Bahrain Grand Prix,2019
9,SOFT,4.0,False,4.0,5.0,Bahrain Grand Prix,2019
10,SOFT,4.0,False,6.0,9.0,Bahrain Grand Prix,2019
11,SOFT,4.0,False,1.0,3.0,Bahrain Grand Prix,2019
12,SOFT,4.0,False,5.0,2.0,Bahrain Grand Prix,2019
13,SOFT,4.0,False,19.0,7.0,Bahrain Grand Prix,2019
14,SOFT,1.0,True,15.0,19.0,Bahrain Grand Prix,2019
15,SOFT,4.0,False,7.0,8.0,Bahrain Grand Prix,2019
16,SOFT,4.0,False,2.0,4.0,Bahrain Grand Prix,2019
17,SOFT,4.0,False,20.0,11.0,Bahrain Grand Prix,2019
18,MEDIUM,1.0,True,16.0,20.0,Bahrain Grand Prix,2019
19,SOFT,1.0,True,11.0,16.0,Bahrain Grand Prix,2019
0,MEDIUM,4.0,False,1.0,2.0,Chinese Grand Prix,2019
1,MEDIUM,4.0,False,2.0,1.0,Chinese Grand Prix,2019
2,MEDIUM,4.0,False,3.0,3.0,Chinese Grand Prix,2019
3,MEDIUM,4.0,False,4.0,5.0,Chinese Grand Prix,2019
4,MEDIUM,4.0,False,5.0,4.0,Chinese Grand Prix,2019
5,SOFT,4.0,False,6.0,6.0,Chinese Grand Prix,2019
6,SOFT,4.0,False,7.0,7.0,Chinese Grand Prix,2019
7,MEDIUM,1.0,True,8.0,12.0,Chinese Grand Prix,2019
8,MEDIUM,1.0,True,9.0,13.0,Chinese Grand Prix,2019
9,SOFT,1.0,True,10.0,0.0,Chinese Grand Prix,2019
10,SOFT,4.0,False,11.0,10.0,Chinese Grand Prix,2019
11,MEDIUM,1.0,True,12.0,16.0,Chinese Grand Prix,2019
12,SOFT,4.0,False,13.0,9.0,Chinese Grand Prix,2019
13,MEDIUM,1.0,True,14.0,14.0,Chinese Grand Prix,2019
14,SOFT,1.0,True,15.0,19.0,Chinese Grand Prix,2019
15,MEDIUM,1.0,True,16.0,17.0,Chinese Grand Prix,2019
16,MEDIUM,1.0,True,17.0,18.0,Chinese Grand Prix,2019
17,MEDIUM,1.0,True,18.0,15.0,Chinese Grand Prix,2019
18,MEDIUM,1.0,True,19.0,11.0,Chinese Grand Prix,2019
19,SOFT,4.0,False,20.0,8.0,Chinese Grand Prix,2019
0,MEDIUM,1.0,True,17.0,0.0,Azerbaijan Grand Prix,2019
1,SOFT,4.0,False,6.0,5.0,Azerbaijan Grand Prix,2019
2,MEDIUM,1.0,True,5.0,8.0,Azerbaijan Grand Prix,2019
3,SOFT,1.0,True,9.0,13.0,Azerbaijan Grand Prix,2019
4,SOFT,4.0,False,13.0,12.0,Azerbaijan Grand Prix,2019
5,SOFT,1.0,True,11.0,11.0,Azerbaijan Grand Prix,2019
6,SOFT,6.0,False,19.0,6.0,Azerbaijan Grand Prix,2019
