,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed,Round,Year
0,23.2,72.2,1015.5,0,42.9,0.9,1,2019
0,26.3,53.6,1003.7,0,29.4,3.0,2,2019
0,19.5,43.9,1019.3,0,30.6,2.1,3,2019
0,19.9,50.1,1014.0,0,43.3,1.4,4,2019
0,20.4,55.1,1007.1,0,42.0,1.3,5,2019
0,22.6,50.3,1011.2,0,35.2,0.6,6,2019
0,28.3,16.9,1022.7,0,51.7,0.6,7,2019
0,25.8,41.7,967.0,0,51.9,2.8,8,2019
0,33.3,21.2,941.3,0,51.4,1.8,9,2019
0,17.9,67.6,1006.5,0,27.8,1.3,10,2019
0,21.0,87.9,991.1,1,26.4,0.8,11,2019
0,25.1,35.9,986.8,0,43.0,2.1,12,2019
0,16.8,60.0,968.3,0,27.1,1.9,13,2019
0,19.7,58.2,989.6,0,32.8,0.0,14,2019
0,30.0,70.7,1009.7,0,37.3,2.9,15,2019
0,22.0,66.7,1017.1,0,33.9,3.2,16,2019
0,21.9,57.6,1009.0,0,39.5,5.3,17,2019
0,22.4,48.4,781.5,0,43.4,1.5,18,2019
0,20.8,27.6,1002.6,0,30.9,0.5,19,2019
0,27.5,35.1,939.4,0,55.6,1.7,1,2020
0,19.4,36.2,946.1,0,38.7,1.1,2,2020
0,20.4,79.5,986.6,1,26.7,1.5,3,2020
0,20.8,44.6,998.6,0,40.7,3.2,4,2020
0,23.7,63.0,1001.4,0,41.5,2.3,5,2020
0,28.8,58.3,998.0,0,43.9,0.9,6,2020
0,17.5,60.4,962.5,0,27.4,1.0,7,2020
0,27.8,40.0,991.4,0,45.2,2.3,8,2020
0,30.2,39.0,993.7,0,45.4,2.1,9,2020
0,28.5,52.1,1012.5,0,41.3,2.7,10,2020
0,9.0,59.2,947.4,0,18.0,2.7,11,2020
0,20.7,62.9,1008.5,0,25.8,2.2,12,2020
0,16.9,74.2,1018.2,0,23.5,0.5,13,2020
0,12.4,87.2,1008.9,1,14.5,0.5,14,2020
0,26.5,60.9,1015.1,0,29.9,0.5,15,2020
0,22.0,57.7,1015.4,0,24.7,2.1,16,2020
0,23.7,50.7,1015.5,0,31.3,1.6,17,2020
0,20.9,56.4,1014.8,0,29.9,1.0,1,2021
0,9.8,68.7,1011.7,1,18.1,0.2,2,2021
0,19.5,38.7,1005.4,0,38.5,0.8,3,2021
0,22.3,55.0,994.5,0,34.1,0.2,4,2021
0,20.7,61.3,1015.0,0,36.9,0.1,5,2021
0,25.4,48.0,1015.5,0,43.9,0.3,6,2021
0,23.9,63.6,960.9,0,30.1,0.8,7,2021
0,26.6,34.1,938.7,0,54.1,0.4,8,2021
0,19.0,58.3,935.8,0,27.8,0.1,9,2021
0,28.4,41.3,1007.7,0,51.1,0.3,10,2021
0,29.1,55.5,978.6,0,47.0,0.9,11,2021
0,12.5,95.6,970.8,1,14.7,0.9,12,2021
0,20.4,56.6,1021.8,0,34.8,0.9,13,2021
0,28.3,38.7,995.1,0,44.6,0.3,14,2021
0,19.1,60.5,1023.5,0,22.6,0.3,15,2021
0,15.5,95.5,1006.5,0,18.2,0.7,16,2021
0,26.4,72.5,993.4,0,32.7,0.8,17,2021
0,19.2,36.6,785.7,0,43.9,0.3,18,2021
0,23.9,56.7,927.1,0,55.9,0.3,19,2021
0,27.4,69.1,1011.6,0,33.8,0.3,20,2021
0,28.8,76.0,1013.3,0,32.8,0.2,21,2021
0,25.6,17.0,1010.2,0,32.3,0.5,1,2022
0,25.3,64.0,1012.0,0,29.6,2.5,2,2022
0,26.0,48.0,1014.5,0,40.6,2.9,3,2022
0,11.1,91.0,1001.7,0,17.6,1.7,4,2022
0,31.7,49.0,1010.0,1,42.8,3.5,5,2022
0,36.3,8.0,996.9,0,48.3,3.2,6,2022
0,24.2,68.0,1002.9,0,42.1,0.8,7,2022
0,25.7,56.0,1010.7,0,49.2,0.8,8,2022
0,19.1,32.0,1012.7,0,38.9,3.9,9,2022
0,19.1,55.0,1001.9,0,30.9,1.2,10,2022
0,20.0,36.0,939.5,0,30.2,1.5,11,2022
0,29.7,47.0,968.2,0,43.3,0.8,12,2022
0,19.0,68.0,985.2,0,27.8,3.4,13,2022
0,20.8,48.0,971.4,0,34.1,1.2,14,2022
0,22.7,72.0,1016.7,0,33.9,0.8,15,2022
0,26.6,38.0,994.0,0,42.4,0.6,16,2022
0,25.2,90.0,1007.7,1,24.5,0.8,17,2022
0,19.0,71.0,1016.0,1,22.8,0.0,18,2022
0,28.5,52.0,992.7,0,34.3,6.0,19,2022
0,22.8,41.0,781.7,0,44.1,1.7,20,2022
0,25.1,69.0,922.4,0,53.5,2.7,21,2022
0,29.7,59.0,1013.0,0,39.0,4.0,22,2022
0,29.8,19.0,1016.5,0,35.1,1.2,1,2023
0,26.0,62.0,1010.5,0,34.0,2.7,2,2023
0,17.1,53.0,1018.5,0,35.0,1.6,3,2023
0,23.9,52.0,1009.5,0,42.5,1.6,4,2023
0,27.2,60.0,1019.0,0,36.5,4.0,5,2023
0,25.8,39.0,1013.7,0,47.4,1.0,6,2023
0,23.5,59.0,1000.9,0,38.5,2.2,7,2023
0,17.1,69.0,1011.9,0,27.1,1.8,8,2023
0,21.7,56.0,934.2,0,31.2,1.0,9,2023
0,22.1,51.0,1001.4,0,36.2,2.7,10,2023
0,28.0,34.0,989.0,0,50.9,1.8,11,2023
0,17.0,66.0,966.5,0,26.3,2.5,12,2023
0,17.4,68.0,1007.4,0,25.5,2.7,13,2023
0,28.5,45.0,1001.0,0,43.2,1.8,14,2023
0,30.0,68.0,1007.9,0,38.3,0.8,15,2023
0,27.3,46.0,1013.2,0,45.8,2.0,16,2023
0,32.3,64.0,1009.5,0,38.1,1.1,17,2023
0,28.6,49.0,995.0,0,39.4,3.2,18,2023
0,24.7,31.0,781.2,0,47.3,1.0,19,2023
0,20.3,62.0,928.4,0,51.4,1.8,20,2023
0,18.1,45.0,940.2,0,20.3,2.5,21,2023
